imagen,pregunta,opcion_a,opcion_b,opcion_c,respuesta_correcta
https://revista.dgt.es/Galerias/test/201404/Test225foto10160x146.jpg,10. ¿Qué vehículos son los más afectados por el viento lateral?,A.Los camiones.,B.Las motocicletas y los ciclomotores.,C.Los turismos.,B
https://revista.dgt.es/Galerias/test/201404/Test225foto11160x146.jpg,"11. En los vehículos no destinados exclusivamente al transporte de mercancías, ¿puede sobresalir una carga indivisible por la parte posterior?",A.No.,"B.Sí, hasta un 10 por ciento de la longitud del vehículo.","C.Sí, hasta un 15 por ciento de la longitud del vehículo.",C
https://revista.dgt.es/Galerias/test/201406/Test226-Preg-01-Doble-fila.jpg,1. ¿Está permitido estacionar en doble fila?,"A.Sí, cuando no haya espacio libre en las proximidades.","B.Sí, en las vías urbanas, por un tiempo inferior a dos minutos.",C.No está permitido en ningún caso.,c
https://revista.dgt.es/Galerias/test/201406/Test226-Preg-02-Trasvesia.jpg,"2. En una travesía sin limitación específica, ¿cuál es la velocidad máxima permitida para adelantar?",A.70 km/h.,B.90 km/h.,C.50 km/h.,c
https://revista.dgt.es/Galerias/test/201406/Test226-preg03-S9.jpg,3. Esta señal recomienda mantener la velocidad entre los valores indicados...,A.Siempre que las condiciones meteorológicas o ambientales sean favorables.,B.Cuando las condiciones meteorológicas o ambientales sean desfavorables.,C.En cualquier caso.,a
https://revista.dgt.es/Galerias/test/201406/Test226-preg04-Depresion.jpg,4. Bajo los efectos de la depresión...,A.Disminuyen las distracciones.,B.Se pierde información del entorno.,C.Se tiene más seguridad.,b
https://revista.dgt.es/Galerias/test/201406/Test226-preg05-Postura.jpg,"5. El conductor, ¿está obligado a hacer que los pasajeros mantengan la posición adecuada?",A.No.,B.Sí.,"C.No, solo está obligado a cuidar la colocación de los objetos.",b
https://revista.dgt.es/Galerias/test/201406/Test226-preg06-senales.jpg,6. Cuando una señal vertical contradice a una señal de balizamiento fijo prevalece la señal...,A.Vertical.,B.Más restrictivia.,C.De balizamiento fijo.,c
https://revista.dgt.es/Galerias/test/201406/Test226-preg07-ampliada-sol.jpg,"7. Los reflejos del sol directo sobre el conductor, ¿pueden tener un efecto negativo en la conducción?","A.Sí, por lo que debe encender la luz de largo alcance para facilitar la visibilidad.","B.No, ninguno.","C.Sí, afectan a la visión haciendo difícil distinguir los vehículos sobre el pavimento.",c
https://revista.dgt.es/Galerias/test/201407/Test227preg01.jpg,1. ¿Qué sistemas de seguridad pueden perder eficacia si no se lleva abrochado el cinturón de seguridad?,A.Los frenos y el ABS.,B.La suspensión y los amortiguadores.,C.Los airbag y los reposacabezas.,c
https://revista.dgt.es/Galerias/test/201407/Test227preg02.jpg,2. Una marca longitudinal formada por dos líneas continuas adosadas...,A.Tiene el mismo significado que una marca longitudinal continua.,B.Indica que circulamos por un carril reversible.,C.Indica que circulamos por un carril adicional circunstancial.,a
https://revista.dgt.es/Galerias/test/201407/Test227preg03.jpg,"3. Si por emergencia se queda inmovilizado con su vehículo dentro de un túnel, deberá...",A.Conectar la señal de emergencia y mantener encendidas las luces de cruce.,"B.Apagar el motor, conectar la señal de emergencia y mantener encendidas las luces de posición.","C.Conectar la señal de emergencia, y hacer sonar el claxon.",b
https://revista.dgt.es/Galerias/test/201407/Test227preg04-Ampliada.jpg,"4. El calor excesivo en el interior del vehículo, ¿puede aumentar el riesgo en la conducción?","A.Sí, porque favorece la aparición de fatiga al volante.","B.No, siempre que el conductor lleve ropas ligeras.","C.No, solamente si se conduce con las ventanillas abiertas.",a
https://revista.dgt.es/Galerias/test/201407/Test227preg05.jpg,"5. Para repostar carburante, ¿cómo debe actuar?",A.Solo apagar las luces.,"B.Parar el motor, apagar las luces, los equipos eléctricos y el móvil.",C.Solo parar el motor y poner la primera relación de marchas.,b
https://revista.dgt.es/Galerias/test/201407/Test227preg06.jpg,"6. En una intersección que no tiene señal de preferencia, ¿cuándo debe ceder el paso a un vehículo de tracción animal?",A.Cuando entra por mi derecha.,"B.Nunca, porque no es un vehículo de motor.","C.Siempre, porque tienen preferencia.",a
https://revista.dgt.es/Galerias/test/201407/Test227preg07.jpg,7. ¿Cuál es la misión principal del líquido refrigerante?,A.Que el vehículo tenga calefacción.,B.Que el vehículo tenga aire acondicionado.,C.Enfriar el motor del vehículo.,c
https://revista.dgt.es/Galerias/test/201407/Test227preg08.jpg,"8. La flecha verde está iluminada. Si quiere girar a la derecha, ¿tiene preferencia de paso?","A.Sí, porque la flecha verde me obliga a girar.","B.No, porque la flecha verde me permite pasar pero debo ceder el paso al vehículo que se aproxima.","C.No, porque la luz roja me prohíbe girar.",b
https://revista.dgt.es/Galerias/test/201407/Test227preg09.jpg,9. El carril que se observa a la izquierda está abierto para circular en sentido contrario. ¿Cuál es la velocidad máxima permitida en ese carril?,A.100 kilómetros por hora,B.90 kilómetros por hora,C.80 kilómetros por hora,c
https://revista.dgt.es/Galerias/test/201407/Test227preg10.jpg,"10. Por el ""carril BUS"", ¿se puede circular para adelantar?","A.No, porque está prohibido.","B.Sí, pero debo adelantar rápidamente.","C.Sí, cuando no circulan autobuses cerca.",a
https://revista.dgt.es/Galerias/test/201407/Test227preg11.jpg,"11. Circular demasiado cerca del vehículo de delante, ¿puede ser peligroso?","A.Sí, por el riesgo de alcance en caso de frenada.","B.No, cuando los frenos de mi vehículo estén en buen estado.","C.No, cuando circule a la misma velocidad que el vehículo de delante.",a
https://revista.dgt.es/Galerias/test/201407/Test227preg12.jpg,"12. La influencia del factor de riesgo del vehículo, ¿cómo se puede disminuir?",A.Revisando y manteniendo el vehículo.,B.Manteniendo limpio el motor.,C.Regulando bien la posición del asiento del conductor.,a
https://revista.dgt.es/Galerias/test/201409/Test-228preg-1.jpg,1. El inflado correcto de los neumáticos es el...,A.Recomendado por el fabricante en cada caso.,B.Superior al recomendado por el fabricante en un 20%.,C.Adecuado a la forma de conducir de cada persona.,a
https://revista.dgt.es/Galerias/test/201409/Test-228-preg-2.jpg,2. ¿A qué altura debe quedar la parte central del reposacabezas?,A.A la altura de los ojos.,B.A la altura del cuello.,C.Es indiferente la altura del reposacabezas.,a
https://revista.dgt.es/Galerias/test/201409/Test-228-preg-3.jpg,3. Es obligatorio el uso del alumbrado para los turismos...,A.Entre la puesta y la salida del sol.,B.Durante el día al cruzar un paso a nivel.,C.Durante el día en travesías de poblaciones.,a
https://revista.dgt.es/Galerias/test/201409/Test-228-preg-4.jpg,"4. Un vehículo que circula por un carril adicional, ¿está obligado a llevar algún tipo de alumbrado?","A.Sí, la luz de corto alcance.","B.Sí, la luz de corto alcance, pero no está obligado cuando circula de día.","C.Sí, luces de posición.",a
https://revista.dgt.es/Galerias/test/201409/Test-228-preg-5.jpg,5. ¿Qué indica la señal?,"A.Prohibido el paso a vehículos con altura (incluida la carga) mayor a 3,5 metros.","B.Obliga a circular por el arcén a los vehículos con altura superior a 3,5 metros.","C.Vía obligatoria para vehículos con altura igual o mayor a 3,5 metros.",a
https://revista.dgt.es/Galerias/test/201409/Test-228-preg-6.jpg,"6. Un turismo de nueva matriculación de uso privado, ¿cuándo deberá pasar la próxima inspección técnica del vehículo?",A.A los 3 años desde la fecha de expedición de la Tarjeta de Inspección Técnica.,B.A los 5 años.,C.A los 4 años desde la fecha de matriculación.,c
https://revista.dgt.es/Galerias/test/201409/Test-228-preg-7.jpg,7. La señal indica que el carril derecho ...,A.Sólo pueden utilizarlo los ciclos.,B.Es obligatorio para los vehículos de dos ruedas.,"C.Es obligatorio para bicicletas, pudiendo ser utilizado por otros usuarios.",a
https://revista.dgt.es/Galerias/test/201409/Test-228-preg-8-ampliada.jpg,8. ¿Es recomendable hacer una puesta a punto  del vehículo después de las vacaciones estivales?,"A.No, si se ha hecho antes del periodo vacacional.","B.Sí, sobre todo si ha estado en zona de playa porque la arena y la sal pueden acelerar la aparición de puntos de corrosión en la carrocería.",C.Solo es recomendable revisar la presión de los neumáticos si ha realizado muchos kilómetros.,b
https://revista.dgt.es/Galerias/test/201409/Test-228-preg-9.jpg,9. ¿De qué peligro nos advierte esta señal?,A.Obstrucción en la calzada.,B.Escalón lateral,C.Pavimento deslizante,a
https://revista.dgt.es/Galerias/test/201409/Test-228-preg-10.jpg,10. Para ahorrar carburante debo...,A.Circular más cerca del vehículo que va delante para disminuir la resistencia del aire.,"B.Conducir con suavidad, sin frenazos ni acelerones.",C.Mantener la velocidad lo más elevada y constante posible.,b
https://revista.dgt.es/Galerias/test/201409/Test-228-preg-11.jpg,"11. Marcas blancas y rojas de la calzada, ¿qué indican?",A.Una zona reservada para la salida de competiciones de coches.,B.Una zona reservada para el estacionamiento de camiones.,"C.Una zona reservada para frenado de emergencia, donde no puedo parar ni estacionar.",c
https://revista.dgt.es/Galerias/test/201409/Test-228-preg-12.jpg,12. Con la lluvia se forma una capa de agua que crea un mayor peligro por...,A.La posible falta de adherencia de los neumáticos al pavimento.,B.El calentamiento de los frenos al mojarse.,C.No se crea ningún peligro por que el agua refrigera los neumáticos y frenan mejor.,a
https://revista.dgt.es/Galerias/test/201412/Test-229-foto-p1.jpg,"1. Ante un paso para peatones señalizado con marca vial solamente, ¿cuándo hay que detenerse?","A.Cuando el peatón ya está atravesándolo, pero no cuando sólo demuestra su intención de hacerlo.",B.Sólo cuando lo indique un agente.,C.Siempre que un peatón esté atravesándolo o demuestre su intención de hacerlo.,c
https://revista.dgt.es/Galerias/test/201412/Test-229-foto-p2.jpg,2. ¿Puede afectar la carga excesiva del vehículo al correcto funcionamiento de los neumáticos?,"A.No, en ningún caso.","B.Sí, cuando se excede de los límites de carga permitidos.","C.No, si el vehículo lleva amortiguadores nuevos.",b
https://revista.dgt.es/Galerias/test/201412/test-229-foto-p3.jpg,3. ¿Es recomendable revisar el cinturón de seguridad después de sufrir un accidente?,"A.No, es un elemento de seguridad que no debe cambiarse nunca.","B.No, porque se ha probado su eficacia.","C.Sí, puede haberse deteriorado el trenzado o los sistemas de anclaje.",c
https://revista.dgt.es/Galerias/test/201412/Test-229-foto-p4.jpg,"4. Como norma general, si circula por esta vía con una furgoneta cargada con bultos apilados, en caso de frenada de emergencia, ¿es importante a tener en cuenta su masa y su volumen?","A.Sí, por lo que se debe mantener una mayor distancia de seguridad ya que la distancia de frenado es mayor.","B.Sí, porque al bajar el centro de gravedad resulta fácil derrapar y perder el control de la misma. c.","C.No, porque a mayor peso mayor estabilidad.",a
https://revista.dgt.es/Galerias/test/201412/Test-229-foto-p5.jpg,5. ¿Debe señalizarse un vehículo inmovilizado por avería en el arcén?,"A.Sí, con la señal de emergencia del vehículo, los triángulos de preseñalización de peligro y, en su caso, con las luces de posición.","B.No, porque el vehículo no está en la calzada.","C.No, porque el lugar utilizado para inmovilizarlo, es el apropiado para ese tipo de situaciones.",a
https://revista.dgt.es/Galerias/test/201412/Test-229-foto-p6.jpg,"6. Si durante la conducción conecta el sistema de aire acondicionado, el consumo de carburante...",A.disminuye si las temperaturas son bajas.,B.aumenta.,C.no varía.,b
https://revista.dgt.es/Galerias/test/201412/Test-229-foto-p7.jpg,7. ¿Se debe aumentar la distancia de seguridad cuando exista niebla?,A.La distancia no influye en la detención cuando hay niebla.,"B.Sí, para tener más espacio para reaccionar ante cualquier frenada del vehículo que va delante.","C.No, si se llevan las luces encendidas.",b
https://revista.dgt.es/Galerias/test/201412/Test-229-foto-p8.jpg,8. Por una autovía está prohibida la circulación de...,A.ciclomotores,B.vehículos especiales,C.turismos con remolque,a
https://revista.dgt.es/Galerias/test/201412/Test-229-foto-p9.jpg,9. La presión de inflado del neumático...,"A.debe comprobarse, como mínimo, dos veces al año.",B.debe comprobarse cada tres meses.,"C.debe comprobarse con frecuencia, y siempre antes de iniciar un viaje largo.",c
https://revista.dgt.es/Galerias/test/201412/Test-229-foto-p10.jpg,10. Si un turismo traslada a un enfermo al hospital con urgencia:,"A.Debe respetar las normas de circulación, sobre todo en las intersecciones.",B.No está obligado a respetar las normas de circulación.,C.Sólo debe respetar las normas que regulan las intersecciones.,a
https://revista.dgt.es/Galerias/test/201412/Test-229-foto-p11.jpg,"11. El equipaje en la baca de un turismo, ¿puede sobresalir por los lados?","A.Sí, cuando el equipaje es ancho y no se puede dividir.",B.No,"C.Sí, pero el ancho total tiene que ser menor de 2,5 metros",b
https://revista.dgt.es/Galerias/test/201412/Test-229-foto-p12.jpg,12. Una postura inadecuada en el asiento...,A.reduce la fatiga.,B.aumenta la fatiga.,C.no influye en la fatiga.,b
https://revista.dgt.es/Galerias/test/201507/Preg-01-Test-230-160x146.jpg,1. ¿Qué vehículos no pueden circular por esta calzada?,"A.Los camiones, únicamente.",B.Sólo los turismos de anchura superior a 2 metros.,"C.Los vehículos de anchura superior a 2 metros, incluída la carga.",C
https://revista.dgt.es/Galerias/test/201507/Preg-02-test-230-160x146.jpg,2. El personal de obras de la fotografía le está ordenando que se detenga. ¿Está obligado a obedecerle?,"A.Sí, porque está autorizado a regular el paso de vehículos en el tramo de obras.","B.No, porque no es un agente de circulación.",C.Solamente si circulan vehículos en sentido contrario.,A
https://revista.dgt.es/Galerias/test/201507/Preg-03-test-230-160x146.jpg,3. ¿Es conveniente hacer una revisión exhaustiva del estado del vehículo si el humo que despide el tubo de escape es de color negro?,"A.Sí, porque el motor puede estar quemando aceite.","B.No, porque solo es un problema de refrigeración que suele desaparecer.","C.Sí, porque en este caso puede deberse a una mala combustión.",C
https://revista.dgt.es/Galerias/test/201507/Preg-04-test-230-160x146.jpg,4. Utilizar el teléfono mientras conduce hace que el riesgo de accidente sea...,A.Igual que si no se utiliza.,B.Mayor que si no se utiliza.,C.Menor que si no se utiliza.,B
https://revista.dgt.es/Galerias/test/201507/Preg-05-test-230-160x146.jpg,5. ¿Qué prohíbe la marca longitudinal discontinua amarilla?,A.La parada.,B.El estacionamiento.,C.Ambos.,B
https://revista.dgt.es/Galerias/test/201507/Preg-06-test-230-160x146.jpg,"6. La velocidad, ¿influye en la capacidad de anticipación del conductor?","A.Sí, a mayor velocidad menor capacidad de anticipación.",B.Depende de las condiciones de la vía.,C.No.,A
https://revista.dgt.es/Galerias/test/201507/Preg-07-test-230-160x146.jpg,7. ¿Cuál es la función del sistema antibloqueo de frenos ABS?,A.Hace que los neumáticos se desgasten menos.,B.Impide el bloqueo de las ruedas durante el frenado.,C.Evita el bloqueo de las ruedas solo en calzadas secas.,B
https://revista.dgt.es/Galerias/test/201507/Preg-08-Test-230-160x146.jpg,8. En un carril reversible...,A.No debe cambiar nunca de carril salvo para adelantar.,B.Debe circular como máximo a 100 km/h y como mínimo a 60 km/h,C.Debe llevar encendida la luz de cruce.,C
https://revista.dgt.es/Galerias/test/201507/Preg-09-test-230-160x146.jpg,9. ¿Cuándo hay que ponerse el chaleco reflectante?,A.Es indiferente.,B.Antes de salir del vehículo.,C.Después de salir del vehículo.,B
https://revista.dgt.es/Galerias/test/201507/Preg-10-test-230-160x146.jpg,"10. Por la noche, la agudeza visual...",A.Aumenta.,B.No varía.,C.Se reduce.,C
https://revista.dgt.es/Galerias/test/201507/Preg-11-test-230-160x146.jpg,"11. Aunque esté prohibido el adelantamiento, un turismo podrá rebasar, incluso invadiendo el sentido contrario, a...",A.Cualquier camión.,B.Conductores de bicicletas.,C.Cualquier autobús o camión que circule lentamente.,B
https://revista.dgt.es/Galerias/test/201507/Preg-12-test-230-160x146.jpg,"12. Al estacionar un vehículo provisto de caja de cambios manual en una pendiente descendente, ¿qué velocidad dejará colocada?",A.La primera velocidad.,B.La marcha atrás.,C.Punto muerto.,B
https://revista.dgt.es/Galerias/test/201507/Preg-13-test-230-160x146.jpg,13. En curvas y cambios de rasante de visibilidad reducida está prohibido...,"A.Adelantar, únicamente.",B.Adelantar y cambiar de sentido.,"C.Cambiar de sentido, solamente.",B
https://revista.dgt.es/Galerias/test/201507/Preg-14-Test-230-160x146.jpg,14. ¿Qué señala la flecha de la señal?,A.El lado del refugio por el que los vehículos han de pasar.,B.Sentido único.,C.Recomienda el lado del refugio por el que los vehículos pueden pasar.,A
https://revista.dgt.es/Galerias/test/201511/N232-P01.jpg,1. ¿Puede afectar la carga excesiva del vehículo al correcto funcionamiento de los neumáticos?,"A.No, en ningún caso","B.Sí, cuando se excede de los límites de carga permitidos.","C.No, si el vehículo lleva amortiguadores nuevos.",b
https://revista.dgt.es/Galerias/test/201511/N232-P02.jpg,2. Un vehículo tiene el silenciador del escape estropeado. ¿Está permitido circular así?,"A.Sí, solamente en carretera.","B.No, pero las motos y ciclomotores pueden circular sin él.","C.No, por la contaminación acústica que produce.",c
https://revista.dgt.es/Galerias/test/201511/N232-P03.jpg,"3. En esta vía urbana con dos carriles para cada sentido que no tiene líneas de separación de carriles, ¿por qué carril se debe circular?",A.Por el de su derecha.,B.Por el carril que más convenga para mi destino.,C.Por el carril de la derecha y no puedo cambiar al segundo,a
https://revista.dgt.es/Galerias/test/201511/N232-P04.jpg,"4. El filtro del aire, ¿para qué sirve?",A.Para limpiar el aire que enfría el motor.,B.Para limpiar el aire que se mezcla con el combustible.,C.Para limpiar el aire de la calefacción.,b
https://revista.dgt.es/Galerias/test/201511/N232-P05.jpg,"5. Los dos primeros años con permiso, ¿cuál es la tasa máxima de alcohol?","A.0,10 mg/l en aire espirado = 0,2 g/l en sangre.","B.0,25 mg/l en aire espirado = 0,5 g/l en sangre.","C.0,15 mg/l en aire espirado = 0,3 g/l en sangre.",c
https://revista.dgt.es/Galerias/test/201511/N232-P06.jpg,"6. Si es necesario avisar a un ciclista con señales acústicas, ¿cómo deben realizarse?","A.A cierta distancia del ciclista, para evitar que se asuste.",B.Es indiferente.,C.Cerca del ciclista.,a
https://revista.dgt.es/Galerias/test/201511/N232-P07.jpg,"7. Una motocicleta de 5 años de antiguedad, ¿con qué periodicidad debe pasar la ITV?",A.Cada dos años.,B.Cada año.,C.Cada 4 años.,a
https://revista.dgt.es/Galerias/test/201511/N232-P08.jpg,"8. En ciudad, ¿es importante no circular a más de 50 kilómetros por hora?","A.Sí, para que, en caso de atropello, el peatón tenga más posibilidades de sobrevivir.","B.No, sobre todo en las calles y avenidas anchas.","C.Sí, pero sólo para no ser sancionado por exceso de velocidad.",a
https://revista.dgt.es/Galerias/test/201511/N232-P09.jpg,"9. Si observa que cuando circula en línea recta el vehículo se desvía hacia un lado, puede ser debido a...",A.A no mantener girado el volante al máximo durante las maniobras.,B.Un bajo nivel del líquido de frenos.,C.Una presión distinta en los neumáticos de un mismo eje.,c
https://revista.dgt.es/Galerias/test/201511/N232-P10.jpg,"10. Los remolques y semirremolques, ¿deben tener tarjeta de inspección técnica?","A.No, es suficiente con la del vehículo que los arrastra.","B.Sí, todos.","C.Sí, pero únicamente los no ligeros.",b
https://revista.dgt.es/Galerias/test/201511/N232-P11.jpg,"11. En un conductor, el consumo de anfetaminas...",A.Genera comportaminetos impacientes o impulsivos.,B.Favorece la fatiga y el sueño.,C.Proporciona un estado de relajación.,a
https://revista.dgt.es/Galerias/test/201511/N232-P12.jpg,"12. Un turismo con remolque, ¿es 12 obligatorio que lleve una rueda de repuesto del remolque?",A.Sí.,B.No.,"C.Sí, cuando el remolque no es ligero.",b
https://revista.dgt.es/Galerias/test/201511/N232-P13.jpg,13. Cuando una señal vertical contradice a una señal de balizamiento fijo prevalece la señal...,A.Vertical.,B.Más restrictiva.,C.De balizamiento fijo.,c
https://revista.dgt.es/Galerias/test/201511/N232-P14.jpg,14. ¿Está permitido estacionar en una calle residencial?,"A.Sí, donde no se estorbe a los peatones.","B.No, está siempre prohibido.","C.No, excepto en los lugares señalizados.",c
https://revista.dgt.es/Galerias/test/201512/TEST-233-P01.jpg,1. La marca amarilla continua...,"A.indica una zona reservada para un uso especial, donde sólo puedo parar.",B.indica una zona donde la duración del estacionamiento está limitada.,C.indica la zona de la vía donde está prohibido parar y estacionar.,c
https://revista.dgt.es/Galerias/test/201512/TEST-233-P02-fo55.jpg,2. El silenciador...,A.no es una parte del sistema de escape de los motores.,B.disminuye o silencia las explosiones producidas en el interior del motor.,C.no tiene influencia en la contaminación.,b
https://revista.dgt.es/Galerias/test/201512/Test-233-P03.jpg,3. La señal prohíbe circular a más de 80 km/h. ¿Cuándo termina la prohibición?,A.Después de la intersección.,B.Cuando encuentre una señal de “fin de prohibido adelantar”.,C.Inmediatamente antes de la intersección.,a
https://revista.dgt.es/Galerias/test/201512/Test-233-P04.jpg,4. El viento sopla desde el lado derecho a ráfagas. ¿Cuándo es más peligroso?,A.Cuando adelanto a un vehículo grande.,B.Cuando circulo detrás de un vehículo grande.,C.Cuando un vehículo grande me adelanta.,a
https://revista.dgt.es/Galerias/test/201512/Test-233-P05.jpg,"5. Si los ocupantes de los asientos traseros de un vehículo son menores de edad y de estatura igual o inferior a 135 cm de altura, ¿qué dispositivos de seguridad deben utilizar?",A.Un dispositivo de retención infantil adaptado a su talla y peso.,B.El cinturón de seguridad que viene instalado en el vehículo.,C.Obligatoriamente un sistema de retención infantil soldado a la carrocería del vehículo.,a
https://revista.dgt.es/Galerias/test/201512/TEST-233-P06.jpg,6. ¿Cuándo está permitido utilizar las señales acústicas?,A.Cuando circulo por vías urbanas solamente.,B.Cuando circulo por cualquier vía en cualquier circunstancia.,C.Cuando quiero adelantar fuera de poblado.,c
https://revista.dgt.es/Galerias/test/201512/Test-233-P07.jpg,"7. Al adelantar, ¿cuándo debe volver al carril derecho?",A.Después de recorrer 200 metros por delante del turismo.,B.Después de 15 segundos.,C.Después de ver en el espejo la parte delantera del vehículo adelantado.,c
https://revista.dgt.es/Galerias/test/201512/Test-233-P08.jpg,"8. Para evitar la fatiga en la conducción, conviene descansar...",A.cada 3 horas o cada 400 kilómetros.,B.cuando el conductor compruebe que ha perdido totalmente la capacidad de reaccionar.,C.cada 2 horas o cada 200 kilómetros.,c
https://revista.dgt.es/Galerias/test/201512/Test-233-P09.jpg,"9. El tiempo de absorción del alcohol, ¿depende de la bebida ingerida?","A.No, la absorción se realiza por el organismo a un ritmo constante, independientemente de la bebida.","B.Sí, se absorbe más rápidamente el alcohol de las bebidas fermentadas.","C.Sí, se absorbe más rápidamente el alcohol de las bebidas destiladas.",c
